UserID,Item1,Item2,bitClassification
1763,3142,1380,0
1829,1900,528,0
1257,2840,2313,1
3882,244,738,0
137,2529,320,0
17,3214,540,1
4023,512,151,0
1843,3296,2524,1
643,2032,2846,0
5225,1357,2215,1
5106,3341,340,1
4622,782,18,0
5851,3663,2796,0
2563,2364,809,0
1850,313,3662,1
4517,2062,361,1
3544,1590,1432,1
660,18,54,1
2966,1900,1533,1
5765,1780,13,0
289,2618,961,1
2884,213,557,1
4094,1418,2524,1
2336,2990,1450,0
5130,877,1643,0
827,2721,851,0
1622,2149,1140,0
3011,2400,2685,1
2789,3147,1594,0
1134,2875,814,1
351,1475,782,1
1851,1230,1402,0
2069,127,2768,0
5140,2414,3217,1
5739,1906,287,0
5653,789,291,1
1641,3408,2878,1
1386,1209,708,1
3584,3615,2721,1
5561,1357,3134,0
5943,753,2830,1
5364,1828,3487,0
1338,764,926,0
4839,1325,3062,0
4028,249,1530,1
3409,1661,3100,0
2,1704,630,1
4875,3402,2186,1
5953,1849,1404,1
2039,2827,245,0
4736,3293,2524,0
1470,814,2661,1
1518,2728,2073,1
4640,2002,3224,1
671,3492,406,1
5470,2652,1886,1
304,3112,1149,0
396,3438,2793,0
4760,2251,127,1
5269,2750,1037,0
981,1770,678,0
4947,1137,1117,0
560,236,439,0
1579,2099,1275,1
3581,2747,1159,1
1301,2797,3675,1
445,1502,12,0
5747,860,2920,1
2774,299,373,1
5488,1408,1874,1
1232,3690,3224,1
2181,3084,129,0
3586,1253,735,0
4793,2491,752,0
4822,3360,933,1
3698,2796,1813,1
2577,1155,1507,0
1390,75,2240,1
472,3367,3112,0
5768,2625,2198,0
1055,3260,2745,1
3919,2692,1911,0
3178,305,715,0
4007,1003,3291,1
5013,2938,2990,0
3386,3620,1614,0
2742,3273,1574,0
4421,2506,242,1
3198,1793,1849,1
5613,948,1564,1
2466,3321,2016,1
3798,968,3500,0
5062,3007,638,0
5196,273,2255,1
5799,162,2696,0
354,40,1703,0
5381,1851,1331,1
1404,327,3523,1
1330,2419,2883,1
2909,2997,433,1
5996,1461,541,0
1776,2088,575,1
5000,3002,1529,1
3816,788,2262,0
1791,463,775,0
2257,183,557,1
3983,2764,1167,1
3136,1861,745,0
4942,512,3175,0
5907,418,884,1
5170,2495,266,0
3990,897,1201,1
104,1068,1107,0
2446,2110,925,0
2623,2306,1095,0
426,1469,406,1
796,1604,184,1
5532,3267,3442,1
2512,481,1986,1
3486,545,532,1
5115,2475,2553,1
808,2912,2983,1
4438,3334,231,0
4121,2115,853,1
1835,1785,2830,1
118,3651,466,1
3342,2011,349,0
2802,2859,3694,1
3634,3315,2996,0
586,2539,638,1
6019,2681,3092,0
2109,2374,2399,1
3974,3344,779,1
1040,884,2629,1
3063,1748,3493,0
2480,1653,2890,0
1933,2425,658,0
353,1136,2982,1
2525,292,289,0
2638,1759,1900,0
3361,882,964,1
2093,3251,127,1
1391,493,1524,1
1825,14,1363,0
52,2642,1421,0
2482,3072,1147,0
1298,1439,2560,1
1467,1448,1906,0
3942,1895,2141,0
5161,2241,429,0
2814,1486,1145,0
754,1003,716,0
5297,1068,1925,0
2132,3028,3353,0
1354,1892,3029,0
747,1079,2530,1
2724,3330,384,1
5373,2431,549,1
410,2677,3297,1
2981,1645,888,0
1537,843,3062,0
1201,2887,773,0
4186,3615,2025,0
661,2605,3205,0
3484,3158,967,1
3677,1659,3190,1
4878,2213,1386,0
2095,3093,3605,0
648,220,1118,0
1154,745,1019,1
5563,3476,3406,1
2628,240,609,1
4379,123,299,1
2417,1155,646,0
739,1959,2513,1
3282,290,2265,0
267,2291,1458,0
2255,1557,2808,1
2861,1037,500,1
5316,1637,2738,0
665,995,1481,0
1674,1019,3639,0
5686,936,3566,0
5784,60,2084,0
1533,2003,2407,0
698,952,388,1
813,1499,1529,0
1619,2603,2063,0
3997,553,290,1
1646,3158,2768,1
551,3106,1772,0
5553,299,33,0
142,2862,2031,1
2825,2734,170,1
4179,1740,1570,1
3878,3634,2721,0
4252,123,2335,1
230,1253,2990,0
5203,3574,2500,1
793,784,2104,0
877,479,1235,0
2515,751,254,0
3805,1417,706,0
3457,1268,595,0
3968,2110,634,0
2866,2345,2211,1
4263,2781,1078,0
5565,2179,55,1
33,950,1117,0
2292,1093,604,0
5924,1329,642,1
1408,3237,127,0
3013,2396,1300,1
5673,647,181,0
5093,1879,3594,0
1557,613,1555,0
4647,641,2738,1
147,1676,675,1
1650,1228,2259,1
4486,128,2013,1
2010,1486,1380,0
3022,1397,2400,1
246,1959,2970,1
2924,995,1446,1
93,1811,473,1
4729,2167,314,0
522,1071,3526,0
2416,1729,2538,1
3142,772,360,0
1454,3652,2091,0
1022,1279,2433,1
4318,2356,220,0
220,1127,2102,0
2060,39,3075,1
3759,2609,3605,0
467,874,2378,1
2729,1845,3392,1
1977,2209,1584,0
2998,2993,2599,0
5865,79,3238,0
3034,1543,2862,0
4461,1599,2677,0
546,700,1075,1
791,1142,1486,1
1884,1360,1758,0
4542,1360,703,1
480,1810,3497,1
4868,3325,508,1
1185,3614,321,0
4561,955,3634,1
861,858,1174,1
2509,1160,2005,1
4462,1083,2933,0
5412,1759,635,0
5435,2340,2810,1
1167,358,189,0
2777,1310,740,0
2494,1522,1858,1
3273,247,3169,0
4062,854,2669,0
770,1833,529,0
1326,884,1584,0
189,3074,1243,0
1443,1695,1092,1
2618,85,3436,0
688,1941,277,1
3833,102,1515,1
3072,2780,1354,0
547,406,1205,0
3637,845,638,1
3370,3312,3614,1
263,1859,988,1
339,1675,2520,1
2045,1930,2349,0
1340,282,2806,1
4951,723,1524,0
203,2524,1059,0
4078,1280,3154,0
1437,410,195,0
5401,3467,3299,1
5832,1942,1386,1
2249,1094,2013,1
3113,2582,3143,1
3189,1817,1584,1
3740,436,2928,0
4010,44,1692,1
4501,1944,920,1
3315,1103,3072,0
550,978,988,0
2529,3675,1327,0
1553,3062,78,1
920,2780,1226,0
2938,138,2564,0
5409,1189,178,1
4141,1476,2447,0
5294,2045,2263,1
3420,3064,3532,1
1826,1373,3071,0
2699,2112,845,0
3799,1437,2971,1
4707,258,2994,0
1937,3458,299,1
1049,18,2580,0
2759,606,350,0
3476,643,3095,1
3440,3543,3461,1
3078,2127,1529,1
4710,228,1661,0
1255,3018,2465,0
792,264,52,1
393,3337,1757,0
1678,1770,1341,0
757,3217,2407,1
4194,2858,1266,1
2271,3003,1626,0
5117,2407,3252,0
4794,181,1387,1
1046,532,1363,0
2049,1,2585,1
2473,143,287,1
4787,1759,3666,0
3744,780,1261,1
1614,1636,1567,1
4570,1008,2086,0
561,3486,1323,1
1314,2400,1900,1
1283,3035,3515,1
3827,1899,2431,1
3945,3168,1327,0
5754,2022,157,1
2244,839,2626,0
5290,751,743,0
1570,2797,1738,0
3567,423,3444,1
302,482,1963,0
2144,3408,1925,1
966,1352,3504,0
1349,1953,1579,0
5957,1850,2430,0
2403,2282,661,0
3648,2736,1227,1
2747,733,1057,1
3168,3299,108,0
2281,675,635,0
3782,2898,715,0
4766,400,948,1
2713,1201,585,1
5804,2777,2697,1
2667,3002,2462,1
1747,2400,2917,0
878,853,3523,0
5710,3497,2182,1
3582,1562,1004,0
231,3020,319,1
1029,1631,2732,1
3580,1872,1311,0
3564,2085,1661,1
2108,37,2883,0
3761,3232,3541,1
3160,1117,384,0
3416,2867,1,0
1246,2940,919,0
3363,622,412,1
762,489,3652,1
1114,241,566,0
968,1559,3166,1
2133,2400,468,1
4044,278,874,1
636,2400,3274,1
2324,884,854,0
4638,1150,916,0
2756,258,1438,1
5445,375,184,1
1428,3163,2458,1
849,644,225,0
1370,2705,284,0
2901,1072,434,0
5189,3373,1826,1
1135,2319,591,1
2406,746,340,0
3489,1046,3406,1
3600,2029,3408,0
3239,1858,3085,0
2780,814,3198,0
2471,582,2682,1
2688,3522,3086,1
5658,1712,2390,0
1202,678,2022,1
3441,351,175,0
2013,775,3483,1
4898,1643,3365,1
2595,807,2425,1
2020,1546,879,0
5328,1555,3530,1
2452,538,398,0
4852,622,408,1
1486,3398,3260,0
5213,3621,1499,1
3617,1190,2314,0
5723,436,42,1
4314,2899,2778,1
832,1283,127,1
4946,2453,2390,1
4043,958,2758,1
2304,1743,1769,0
1745,1486,405,0
2439,2718,3052,0
3372,1431,1503,1
4933,1935,2863,0
883,2473,585,0
5973,1098,2742,1
5560,1123,3541,1
5880,290,3305,0
180,2953,2864,1
3137,3016,882,1
3220,1632,2913,1
1403,2776,1154,1
5570,635,10,1
5021,3101,1133,1
1076,1227,2868,1
2112,3180,638,1
250,2003,2935,0
345,2830,1858,0
2579,641,619,1
5475,2121,590,1
122,3344,1917,0
2573,767,2626,1
4603,2386,1765,0
2337,1810,2532,1
3883,3527,234,0
3649,1533,722,0
5999,2407,656,0
4204,3197,2976,1
3686,951,1704,0
5374,1638,299,1
2083,40,3652,1
6027,3698,1814,0
2252,2013,1731,1
1412,547,867,0
787,357,838,1
3403,2846,1265,0
4329,3694,967,0
280,364,1068,1
5045,1988,2036,1
3389,299,844,0
2589,3677,1630,1
4720,2411,123,0
5654,2169,905,0
1965,1969,2261,1
5080,2553,347,0
5939,1026,3044,0
4882,3053,2181,1
4695,186,2290,0
3602,8,153,1
3281,554,2333,1
4845,1631,2759,0
3300,1062,1392,1
934,2913,3232,0
5267,469,3062,1
5770,2016,1526,0
4837,2528,1759,1
4353,2452,161,1
3994,2491,259,0
3182,1614,408,1
115,305,3695,0
1102,2109,222,0
790,1305,3500,0
2903,188,3069,1
4254,2077,1209,1
2829,2632,2306,1
5805,3619,2985,0
5029,2909,3492,0
487,2860,434,0
912,3514,36,1
266,300,189,0
674,1181,3418,0
486,1505,296,0
4095,1541,3677,0
3493,3396,281,1
1321,423,2293,1
2710,2439,3005,1
3210,1900,1286,0
5321,477,295,1
3578,2712,2681,1
479,868,2295,1
3904,1432,1034,0
2682,3002,840,1
2091,2648,807,0
3421,2151,3523,1
886,795,3607,0
4361,287,450,0
2992,1620,792,1
4914,2667,1529,1
4518,2334,542,0
1427,202,1972,1
2371,3666,1778,1
3490,1611,1531,1
4895,3036,2547,0
2499,676,2742,1
992,3118,596,0
1676,1027,443,0
1773,363,753,0
2840,1245,948,1
3791,1290,639,1
497,103,2035,1
6017,3289,2810,0
554,2211,854,1
2392,3546,3106,1
2407,2101,131,0
1278,301,1336,0
1248,3220,1462,0
3815,2669,2310,1
5138,3376,3373,1
4686,3598,2009,1
5457,384,127,1
3562,1662,1880,0
3558,1980,1385,1
2862,3142,2128,0
2769,1723,1074,1
4373,1894,3586,1
431,1758,3124,0
4414,1900,3403,1
401,2337,1386,0
5622,2282,2325,0
558,1380,2204,1
4478,1428,864,1
5250,1692,503,0
2474,2863,378,0
4891,2161,645,1
300,716,1555,1
245,44,340,1
3745,532,2939,0
2353,1836,1484,0
443,2950,423,0
2902,1221,2160,0
2746,2135,2818,1
3097,3684,869,0
5273,992,308,1
5067,2010,2018,0
617,2621,1654,0
5678,423,2577,0
1649,3197,1062,1
5966,176,1914,0
5646,616,1574,0
1860,446,3003,1
4427,538,2128,0
2946,437,1609,0
515,267,515,1
932,2510,1784,1
5694,327,2279,1
124,406,2020,0
5759,2727,1627,1
4771,1550,2403,1
1479,851,595,0
3134,2244,1203,1
4861,2262,1128,0
1960,126,3132,0
4448,1749,2621,1
805,3110,3498,1
1577,1015,1658,0
3917,1452,3593,0
5762,1250,2340,0
744,3213,2814,1
3573,1651,779,0
3620,3426,2324,1
1895,169,2835,1
6038,3224,553,1
174,2200,2105,1
3535,1880,985,0
4625,3419,629,1
5264,299,725,0
81,2035,449,0
3009,3235,1220,0
4416,1791,285,1
5500,745,1241,1
1712,173,3273,0
2414,10,263,0
3132,1156,3226,0
5773,2697,458,0
4276,2599,75,0
5883,3455,2088,0
1069,775,2138,1
1468,449,1432,0
3429,565,721,0
662,1969,648,1
3623,1111,3695,1
3217,957,3373,1
1426,2495,3106,1
2817,125,2183,0
1039,2410,1546,0
2205,1268,1857,0
761,2044,2570,1
1583,1677,331,0
6014,2324,2109,0
3519,468,1782,1
3498,258,3408,0
1104,347,2830,1
2694,406,663,0
5059,2409,1888,1
4815,540,2386,0
5437,3062,3174,0
2179,986,1864,0
2117,3541,3435,1
3088,2374,2179,1
15,3035,2705,1
5066,3243,1415,1
1608,782,2853,1
4434,449,1665,0
5504,3618,730,1
1973,3100,2136,0
4009,2951,2806,1
3437,1116,2258,0
693,3251,2077,1
47,3624,3086,1
1677,937,943,0
2858,3333,306,0
3857,995,1136,1
1708,838,3044,0
227,2224,1201,0
2364,2458,916,0
3375,1702,3174,0
1762,2580,1760,1
4943,937,2628,1
3277,3176,3225,0
946,3607,2236,0
382,2956,2836,1
4380,1484,115,0
537,2639,3493,0
1827,660,3408,0
2586,2090,2611,0
2092,3384,2880,1
3696,108,1029,1
3381,1753,951,1
3394,127,2192,0
3670,2022,1731,1
2033,2462,2938,1
3664,49,2211,0
5073,1831,3069,0
4202,2949,1982,0
3739,405,2317,0
2796,606,822,1
1609,1677,604,1
4700,313,2400,0
1261,1040,2268,1
4086,1213,3346,1
43,164,1939,1
799,300,45,1
4922,601,1672,0
3431,3267,2820,1
3153,549,1026,1
3446,3104,1476,1
1918,1168,1080,0
2874,2257,2254,0
5252,3540,1584,1
5846,782,3128,0
4849,1766,3669,0
4597,3381,3418,1
5891,97,3284,1
3128,251,2425,1
1938,2588,3102,1
3762,3390,2723,1
5036,2016,3337,0
2945,828,2701,1
5580,2353,3164,0
3101,3673,296,0
4103,3640,2697,0
6030,307,3189,1
704,2287,2077,0
1901,1143,1546,1
128,1786,102,1
4336,2211,2494,0
5968,2503,2167,0
5494,987,1392,1
3329,1849,863,0
721,1720,1594,1
205,2975,565,0
4096,902,3523,0
2022,1064,3658,1
5743,2491,2839,1
1132,406,1081,0
4110,925,9,1
343,390,360,1
1689,418,2804,0
2287,2842,2648,1
2036,3621,92,1
816,3214,1256,1
4476,2990,2470,0
2775,1131,3655,1
2951,849,1397,0
3529,2410,41,0
2148,1550,3033,0
2116,3301,695,0
54,2388,3314,1
3340,2390,3023,1
4287,869,2734,1
2658,3236,161,1
629,1705,924,1
66,2268,449,1
2776,1883,510,0
5863,3086,2564,0
109,2682,1095,0
594,1465,3214,0
4818,734,1041,0
72,1518,2407,0
5954,814,199,0
3688,2697,999,0
3597,2735,3183,1
1571,2832,1260,0
4512,764,962,1
4879,2898,434,0
247,3365,1732,0
690,2348,3533,1
170,3009,2855,0
5349,1357,1926,1
179,405,2831,1
37,1338,2815,0
2419,1965,219,0
1768,126,2886,1
1487,3265,1953,1
2492,297,859,0
2367,2329,2066,1
2608,328,647,1
192,2893,533,1
3552,1708,3501,0
1562,593,1710,1
810,1043,2482,1
416,2390,3360,1
3796,2870,1592,0
663,746,1028,1
5726,127,1,1
5983,1197,2466,1
1153,2401,3014,1
5405,1546,2270,0
5587,842,2538,0
1549,2609,2927,0
3647,3700,918,0
4371,2251,1017,1
3499,1485,18,1
2246,1502,2705,1
4050,780,2992,1
4618,137,1261,1
4645,2909,1323,1
3984,924,1830,0
3102,3213,1006,1
4733,1290,361,0
2398,3675,517,0
1660,1683,857,1
5299,2815,1711,1
4388,3689,1878,0
3501,3393,1870,0
2762,1387,2257,1
980,271,2618,0
5608,3575,3540,0
4968,65,2627,0
336,2187,249,1
2058,859,647,0
2413,3221,3346,1
1331,1553,2945,0
4054,877,424,0
4196,3210,1486,1
3991,1174,2934,1
5839,2799,1584,1
3561,3481,959,1
2472,589,1832,0
713,307,3541,0
178,1218,843,0
1013,2866,1832,1
3609,2028,1082,0
1781,901,2832,0
5257,406,2266,0
1910,2412,127,1
32,1411,3200,1
5997,2939,2214,1
3818,3118,2112,0
2121,1112,1476,1
1053,63,2683,0
539,3015,3170,0
5171,866,842,1
1564,1197,71,1
5685,1360,3383,1
4251,875,483,1
1798,1526,1441,1
516,334,2023,0
4659,1895,1089,1
3400,726,2901,0
2565,1926,2276,1
597,3620,3546,0
2541,873,3195,0
5369,2504,2099,1
3619,223,2020,0
5388,226,2174,0
2661,3226,3506,1
4385,453,2070,0
4774,3694,3547,1
2434,581,15,1
4673,379,2319,1
5172,2211,1041,0
2807,2261,2971,1
1004,2307,1484,1
4347,1851,1095,1
2355,2349,3392,0
879,1993,542,0
4619,227,1448,0
1351,2184,3437,0
3454,3268,2437,1
5826,3306,1290,1
712,1019,632,0
2442,3209,2513,1
1088,3062,1884,1
3146,3507,1790,1
4504,2490,3435,0
1419,1367,2257,1
2656,3196,1775,1
4227,1785,941,1
705,898,3064,1
2115,3108,2304,0
3154,1033,40,0
839,919,3411,1
3378,1449,3127,0
5167,527,2032,0
4447,1441,8,0
2918,3488,3110,1
2218,2758,569,1
2228,816,189,0
4177,1598,2352,1
2081,2511,3246,1
3808,1611,3428,0
3937,3455,2271,0
6021,1002,621,1
4234,145,1920,1
1962,2848,3275,0
5595,2181,1397,1
4363,1520,1109,0
5688,101,2555,1
4728,3006,532,1
3849,3181,2257,1
4513,1591,1704,0
5751,3298,2287,1
73,1529,760,1
501,2986,452,1
4091,2888,2317,0
5268,1267,710,0
3965,2139,888,0
313,413,2371,1
2906,1410,3118,1
4821,1234,900,0
3831,2251,1183,0
2543,2812,1614,1
2610,1429,2355,1
1477,1797,313,0
4905,3346,2186,1
2404,2782,60,1
5806,838,3054,0
2090,1635,3133,1
5061,1214,1687,1
5249,833,743,1
3337,3423,621,1
3957,552,2163,1
1680,3018,3174,0
2642,2689,1927,1
5177,3114,3196,1
702,2413,3673,1
340,609,55,1
954,780,1095,0
3068,2645,1417,0
305,1357,1096,1
8,2246,3580,1
2513,3400,3635,1
4352,1314,1869,1
5903,2349,1775,0
5216,1720,3003,1
397,857,1971,1
732,3003,618,0
5256,3020,3551,1
1395,301,253,1
4081,2502,85,1
4916,911,2880,1
3021,3349,2473,0
477,840,2270,1
2904,2013,1571,0
784,2013,1497,0
436,299,1595,1
833,125,2560,1
4389,193,2936,1
3418,3636,1873,0
1422,2419,1095,1
4017,1849,1646,1
780,2868,2830,0
4828,1503,2959,0
2070,559,531,1
4453,2290,149,1
3685,2905,1987,1
4396,2913,3447,1
464,3612,934,0
5372,3408,40,1
5158,464,2935,0
4684,2333,1633,0
5921,492,2532,1
2997,406,429,0
1220,2682,860,0
2600,695,2626,1
3830,2842,593,0
3631,3604,2955,1
911,2409,3309,1
4847,532,2585,1
2448,2507,506,1
5004,616,102,0
5229,475,102,0
3062,1492,1914,1
5818,2909,1483,1
2795,1456,1791,1
2974,1159,1320,1
2989,75,3432,1
4674,848,1771,1
222,1010,2609,0
269,260,203,0
3050,3191,3274,0
4880,755,1692,1
2207,2513,331,0
581,52,3481,0
429,3064,2697,1
2340,531,3091,1
4084,3003,196,0
3985,3521,3112,1
975,2866,91,1
5126,736,870,1
398,463,733,0
1534,218,2340,0
491,540,2076,0
381,1452,782,0
3166,2211,1607,0
5508,1002,217,1
492,1147,3358,1
848,3312,924,0
5462,561,28,1
2538,2608,1060,0
678,2114,1880,0
3103,888,2705,1
3935,2192,2407,1
1524,1784,845,0
4692,2276,1502,0
7,1782,3598,1
2308,2582,2993,1
4376,3401,2970,1
1846,1760,3113,0
4869,1360,3587,1
5643,2173,1875,1
3741,2072,2814,1
5382,2400,2805,0
4201,2714,2425,1
4198,1790,3689,0
1984,1555,3309,0
3083,197,395,0
1317,1662,1155,1
5424,2583,408,1
1717,2463,1317,0
3875,312,3511,1
1924,1344,1731,1
2285,1614,3373,0
248,2553,2511,1
1688,2793,1366,0
3257,1993,307,1
4402,1477,3583,1
196,3544,541,0
3603,2173,1603,1
2032,3275,3634,1
4544,3108,2102,1
364,589,3220,0
2937,2999,3031,1
184,114,648,0
4551,483,3523,0
4002,855,3003,1
4872,185,405,1
847,2122,223,0
1186,3694,1439,1
3870,2500,1529,1
1951,1004,185,0
6001,1146,2057,0
4230,3113,3237,1
1093,3283,1743,0
1916,1392,1018,1
3115,2444,3549,0
3553,2781,408,0
2171,670,3663,0
5447,2602,1815,1
873,3694,969,1
4243,1390,647,1
5925,1062,76,0
4936,1360,2232,0
4894,766,1545,0
5916,1025,1308,1
5147,1833,123,0
2956,1295,920,1
4153,1329,368,1
3040,3593,3436,0
2437,2087,535,0
3067,1232,2408,1
3860,952,602,0
2982,127,747,0
740,1147,2023,0
5344,175,3332,1
39,1391,405,0
3692,3110,2875,1
4342,1314,418,0
5175,1566,2936,0
3853,1045,3234,0
947,1909,1071,0
309,1596,2418,0
4930,1524,959,0
5772,2777,880,0
5429,2606,406,1
5989,167,377,1
668,2470,1590,1
5301,3544,765,0
4913,109,985,1
1992,3152,2553,1
1152,1577,2422,1
2238,1332,1338,1
4931,40,1071,1
1909,1524,2999,0
4934,1702,2814,0
3635,1154,198,0
738,467,2150,0
2096,562,2697,1
3695,1155,3532,0
5707,3173,410,1
461,2892,1381,0
2378,972,485,0
5808,3527,2537,0
3488,3473,125,1
4474,842,3448,0
1149,3697,1175,1
2173,2290,2008,0
5303,1505,1287,0
6004,654,131,1
5317,1800,2624,0
5738,879,1662,1
2245,1338,2394,0
5820,2094,477,1
1449,247,2145,1
5465,171,200,0
4819,497,2597,0
1733,3639,3436,0
2689,112,115,1
1459,1898,2860,0
4987,782,3041,0
5802,2999,3370,0
908,2390,3373,0
729,2431,1432,1
3127,73,1268,0
4288,2609,3064,0
2678,2379,227,1
1124,3638,2270,0
3885,1802,2731,1
999,866,28,1
4907,2700,2774,1
2460,814,556,1
4349,851,1776,0
4972,1759,2763,0
5978,1229,313,1
1917,1239,392,1
4500,3345,1173,0
5143,2848,2659,0
763,277,3614,1
5231,389,876,1
4781,538,1682,0
474,855,290,0
3283,2473,1052,0
2615,973,2425,1
4796,2669,1608,0
4193,3423,374,1
1356,924,1360,1
4042,778,1304,0
4649,3706,2102,0
5423,1654,2814,0
5731,1156,564,1
3064,2637,3514,0
3478,2452,1338,1
788,1436,1039,1
5566,2936,1124,1
2803,2090,2821,0
909,284,1388,0
3260,1489,2845,0
1376,2346,995,1
4749,533,2717,1
1216,2291,1286,1
5230,245,313,1
350,1154,2346,1
2838,2195,1877,1
3659,2561,2324,1
600,1888,163,0
3712,664,406,0
1227,2473,1102,0
2421,1908,2490,1
418,3578,1286,0
4753,1189,1420,1
1309,312,2815,1
5885,937,3424,1
673,3642,3672,1
5683,628,3381,1
36,1019,3493,0
5292,817,3373,1
424,1495,55,1
5877,749,2248,1
766,2455,376,0
1189,2431,3004,0
4550,1253,1439,1
5795,510,1960,1
